Par,0.9999654261704686
H,0.9999625450180076
Ware,0.999961584633854
Bers,0.9999596638655467
Rgar25,0.9999577430972394
Psis,0.9999567827130855
Ine,0.9999539015606246
Lsq,0.9999529411764709
Dware,0.9999510204081639
Rgar37,0.9999404561824735
Gar37,0.9999394957983199
Are,0.999873229291717
Msd,0.9994746698679471
Nsd,0.9984105642256904
Wrug,0.9959433373349347
Ham,0.9931438175270111
Gar25,0.9920816326530616
Wrwg,0.9907659063625454
Wrcwg,0.9900984393757507
Wrcug,0.9718828331332537
Rgar12,0.23218151260504197
Gar12,0.2210794717887156
